eye	auge
family	familie
fauna	fauna
fbi	fbi
fear	angst
feline	katzen-
fertility	fruchtbarkeit
fighting	kampf
film	film
fingerprint	fingerabdruck
five	fünf
flight	flug
flood	hochwasser
focus	schärfe
food	lebensmittel
football	fußball
forecast	prognose
forest	wald
freud	freud
fruit	obst
fuck	fick
furnace	ofen
gain	gewinnen
galaxy	galaxis
game	spiel
gem	juwel
gender	geschlecht
gin	gin
girl	mädchen
glass	glas
government	regierung
governor	gouverneur
graveyard	friedhof
grocery	lebensmittelgeschäft
group	gruppe
hardware	hardware
harvard	harvard
health	gesundheit
hike	wanderung
hill	hügel
history	geschichte
holy	heilig
hospital	krankenhaus
hotel	hotel
hundred	hundert
hypertension	hypertonie
image	bild
impartiality	unparteilichkeit
implement	implementieren
importance	bedeutung
index	index
industry	industrie
information	informationen
infrastructure	infrastruktur
inmate	insasse
institution	institution
insurance	versicherung
interest	interesse
internet	internet
interview	interview
investigation	untersuchung
investor	anleger
isolation	isolation
israel	israel
issue	ausgabe
jackson	jackson
jaguar	jaguar
japanese	japanisch
jazz	jazz
jerusalem	jerusalem
