abuse	missbrauch
accommodation	unterkunft
activity	aktivität
admission	eintritt
airport	flughafen
alcohol	alkohol
aluminum	aluminium
american	amerikaner
animal	tier
announcement	ankündigung
antecedent	vorgeschichte
anxiety	angst
approach	ansatz
arafat	arafat
architecture	architektur
archive	archivieren
area	bereich
arrangement	anordnung
arrival	ankunft
article	artikel
artifact	artefakt
association	verein
astronomer	astronom
asylum	asyl
atmosphere	atmosphäre
attempt	versuch
attitude	haltung
automobile	automobil
avenue	allee
baby	baby
bank	bank
baseball	baseball
basketball	basketball
bed	bett
benchmark	maßstab
bird	vogel
bishop	bischof
block	block
board	board
book	buch
boxing	boxen
boy	junge
brandy	brandy
brazil	brasilien
bread	brot
brother	bruder
buck	bock
butter	butter
cabbage	kohl
calculation	berechnung
canyon	schlucht
car	auto
card	karte
carnivore	fleischfresser
cash	bargeld
cat	katze
category	kategorie
cd	cd
cell	zelle
cemetery	friedhof
center	zentrum
century	jahrhundert
challenge	herausforderung
championship	meisterschaft
chance	chance
change	veränderung
chemistry	chemie
children	kinder
chord	akkord
citizen	bürger
clinic	klinik
closet	schrank
clothes	kleidung
coast	küste
cock	hahn
coffee	kaffee
cognition	erkenntnis
collection	sammlung
combination	kombination
communication	kommunikation
company	firma
competition	wettbewerb
computation	berechnung
computer	computer
concert	konzert
conclusion	abschluss
confidence	vertrauen
constellation	konstellation
consumer	verbraucher
country	land
crane	kran
credibility	glaubwürdigkeit
credit	kredit
crew	crew
crisis	krise
criterion	kriterium
critic	kritiker
cucumber	gurke
culture	kultur
cup	tasse
currency	währung
dawn	dämmerung
day	tag
death	tod
decoration	dekoration
defeat	niederlage
defeating	besiegen
delay	verzögerung
departure	abfahrt
deployment	einsatz
deposit	anzahlung
depression	depression
development	entwicklung
direction	richtung
disability	behinderung
disaster	katastrophe
discipline	disziplin
discovery	entdeckung
dividend	dividende
doctor	arzt
dollar	dollar
drink	getränk
drought	dürre
drug	droge
ear	ohr
earning	ertrags
eat	essen
ecology	ökologie
effort	anstrengung
egg	ei
emergency	notfall
energy	energie
entity	wesen
environment	umwelt
equality	gleichheit
equipment	ausrüstung
evidence	beweis
example	beispiel
exhibit	zeigen
experience	erfahrung
eye	auge
family	familie
fauna	fauna
fbi	fbi
fear	angst
feline	katzen-
fertility	fruchtbarkeit
fighting	kampf
film	film
fingerprint	fingerabdruck
five	fünf
flight	flug
flood	hochwasser
focus	schärfe
food	lebensmittel
football	fußball
forecast	prognose
forest	wald
freud	freud
fruit	obst
fuck	fick
furnace	ofen
gain	gewinnen
galaxy	galaxis
game	spiel
gem	juwel
gender	geschlecht
gin	gin
girl	mädchen
glass	glas
government	regierung
governor	gouverneur
graveyard	friedhof
grocery	lebensmittelgeschäft
group	gruppe
hardware	hardware
harvard	harvard
health	gesundheit
hike	wanderung
hill	hügel
history	geschichte
holy	heilig
hospital	krankenhaus
hotel	hotel
hundred	hundert
hypertension	hypertonie
image	bild
impartiality	unparteilichkeit
implement	implementieren
importance	bedeutung
index	index
industry	industrie
information	informationen
infrastructure	infrastruktur
inmate	insasse
institution	institution
insurance	versicherung
interest	interesse
internet	internet
interview	interview
investigation	untersuchung
investor	anleger
isolation	isolation
israel	israel
issue	ausgabe
jackson	jackson
jaguar	jaguar
japanese	japanisch
jazz	jazz
jerusalem	jerusalem
jewel	juwel
journal	zeitschrift
journey	reise
keyboard	tastatur
kilometer	kilometer
kind	art
king	könig
laboratory	labor
lad	junge
landscape	landschaft
laundering	wäsche
law	gesetz
lawyer	anwalt
lesson	lektion
liability	haftung
library	bibliothek
life	leben
line	linie
liquid	flüssigkeit
listing	auflistung
live	leben
lobster	hummer
loss	verlust
love	liebe
lover	liebhaber
luxury	luxus
madhouse	irrenhaus
magician	zauberer
maker	hersteller
mammal	säugetier
man	mann
manslaughter	totschlag
maradona	maradona
marathon	marathon
market	markt
marriage	ehe
mars	mars
match	spiel
medal	medaille
media	medien
memorabilia	erinnerungsstücke
metal	metall
mexico	mexiko
midday	mittag
mile	meile
mind	geist
minister	minister
ministry	ministerium
minority	minderheit
money	geld
monk	mönch
month	monat
moon	mond
morality	moral
mother	mutter
